deleterious	harmful
modicum	limited quantity; small amount; Ex. He does not have a modicum of sense; CF. moderate
virtuoso	highly skilled artist (esp. in music); Ex. piano virtuoso
tardy	slow; sluggish; not on time; late; Ex. tardy arrival
seedy	run-down; decrepit; disreputable; having many seeds; Ex. seedy downtown hotel
vindictive	disposed to revenge; vengeful; out for revenge; spiteful; intended to cause harm; malicious; Ex. vindictive streak
corpus	collection (of writings or information); Ex. the corpus of Shakespear's works; Cf. corpse
recapitulate	summarize
devise	think up; invent; plan; bequeath; N: bequest
dwindle	shrink; reduce gradually
eulogy	expression of praise, often on the occasion of someone's death; V. eulogize
calamity	disaster; misery
authenticate	prove genuine
incandescent	strikingly bright; shining with intense heat; emitting visible light when heated; Ex. incandescent light bulb; CF. candle
ameliorate	improve
rent	tear made by rending; rip; split
rigor	severity; Ex. rigors of the Russian winter
enamored	in love; Ex. enamored of his own beauty; V. enamor: inspire with love
rationale	fundamental reason or principle (on which a system or principle is based); fundamental reason or justification; grounds for an action
probity	uprightness; honesty; incorruptibility
dismember	cut into small parts; cut (a body) apart limb from limb
mange	skin disease (esp. of domestic animals) marked by loss of hair
prop	support placed under or against something; V.
clique	small exclusive group of people
haphazard	random; by chance; happening in an unplanned manner; Ex. haphazard growth of the town
proviso	stipulation; condition in an agreement; provision
lucrative	profitable; producing wealth
visage	face; appearance
unerringly	infallibly; ADJ. unerring: making no mistakes
stock	standard; kept regularly in stock or supply; typical; routine; common; Ex. stock sizes of paper; Ex. stock excuse/character; N: goods for sale in a shop; OP. unique
horde	crowd; swarm
tarantula	venomous spider
decipher	decode; CF. indecipherable
detrimental	harmful; damaging; N. detriment
coalesce	combine; fuse; N. coalescence
pharisaical	pertaining to the Pharisees, who paid scrupulous attention to tradition; self-righteous; hypocritical
spin	rotate swiftly; make (thread) by twisting (cotton, wool, etc.); N.
finicky	too particular; fussy; difficult to please; too concerned with unimportant details or quality; Ex. finicky about her food
interminable	endless
privy	secret; hidden; not public; made a participant in something secret; Ex. privy chamber government; Ex. be privy to a discussion; CF. private
sidetrack	switch (a railroad car) to a siding; divert from a main issue; N. CF. siding: short section of railroad track connected by switches with a main track
afterlife	life after death; later part of one's life
itinerary	plan of a trip; record of a trip
truculence	aggressiveness; ferocity; ADJ. truculent: aggressive; pugnacious; fierce
integrity	honesty; uprightness; wholeness; state of being whole and undivided; completeness
predispose	give an inclination toward (in advance); make susceptible to; Ex. predispose people to certain cancer; N. predisposition
glutton	someone who eats too much; ADJ. gluttonous: given to gluttony; greedy; CF. gluttony: habit of eating too much
prudent	cautious; careful; prudential
pious	devout; religious; N. piety
bully	one who is habitually cruel to weaker people; V.
selective	careful in choosing; having an effect only on certain things; not general; Ex. eclectic weed killer
bout	match; short period of great activity; Ex. wrestling bout; bout of drinking/flu
mountebank	charlatan; boastful pretender
except	exclude; N. exception: objection; exclusion; ADJ. exceptional: unusual; of unusually high quality
papyrus	ancient paper made from stem of papyrus plant
labyrinth	maze
rigid	hard and unbending; stiff and unyielding; fixed in behavior or views; strict; rigorous; Ex. rigid rule
zephyr	gentle breeze; west wind
consonant	harmonious; in agreement; N.
synthesis	combining parts or separate things into a whole; the whole so formed; PL. syntheses; V. synthesize
divulge	reveal
satire	form of literature in which irony, sarcasm, and ridicule are employed to attack human vice and folly
ambidextrous	capable of using either hand with equal ease
galvanize	stimulate or shock by an electric current; stimulate by shock; shock into action; stir up; coat with rust-resistant zinc by using electricity
expatiate	talk at length; speak or write in detail
chicanery	trickery; deception
convert	one who has adopted a different religion or opinion; V: change into another form; (persuade to) adopt a particular religion or belief
irrefutable	indisputable; incontrovertible; undeniable
recast	reconstruct (a sentence, story, statue, etc.); fashion again
knoll	little round hill; hillock
maverick	rebel; nonconformist (in a group)
monarchy	government under a single ruler
infirmity	weakness
charlatan	quack; pretender to knowledge (esp. in medicine)
shift	change position or place; exchange (one thing) for another; change in direction or position; Ex. shift the stolen goods; N. group of workers which takes turns with other groups; working period of such a group
larder	pantry; place where food is kept
soothsayer	one who foretells the future
disquisition	formal systematic inquiry; explanation of the results of a formal inquiry; long formal speech or written report
axiom	self-evident truth requiring no proof
superannuated	retired or disqualified because of age; outmoded; obsolete
wrench	twist; pull; strain; Ex. He wrenched the gun out of her hands.
elevation	elevated position; altitude; height; flat upright side of a building; angle made by pointing a gun; Ex. The elevation of her style is much admired; Ex. front elevation of the house
coax	persuade by flattery
multiplicity	state of being numerous or multiple; large number; Ex. multiplicity of details; ADJ. multiple: of more than one element
simper	smirk; smile in a silly way; smile affectedly
disputatious	argumentative; fond of argument
purport	intention; purpose; meaning; V: claim; profess; Ex. order which purports to be signed by the general
jovial	good-natured; merry; cheerful
annuity	yearly allowance
delete	erase; strike out
opiate	medicine to induce sleep or deaden pain; something that relieves emotions or causes inaction; sleep-producing drug containing opium
scourge	lash; whip (formerly used for punishment); source of severe punishment; V: whip; afflict
vigil	keeping watch (during normal sleeping hours); Ex. all-night vigil
refraction	bending of a ray of light
soluble	able to be dissolved in a liquid; able to be worked out or solved
cross	bad-tempered; showing ill-humor; angry
Advent	arrival
discomfit	frustrate; put to rout; defeat; disconcert; embarrass; perturb
pinnace	small boat
resumption	taking up again; recommencement; V. resume: begin or take up again; take or occupy again; Ex. Kindly resume your seats.
repertoire	list of works of music, drama, etc., a performer is prepared to present; CF. repertory
cleft	N: split
benign	kindly; favorable; not malignant (disease); Ex. benign tumor
obeisance	bow (to show respect and obedience)
irreverence	lack of proper respect or reverence; ADJ. irreverent
prosperity	good fortune and financial success; physical well-being
gossamer	sheer; very light; like cobwebs; N: soft and sheer fabric; cobweb
benefactor	gift giver; patron; person who does good or who gives money for a good purpose
extol	praise very highly; glorify
blasphemy	irreverence; sacrilege; cursing; bad language about God or holy things; V. blasphem; ADJ. blasphemous; CF. sacrilege
rip	tear or be torn quickly and violently; Ex. The sail ripped under the force of the wind; N.
pediatrician	physician specializing in children's diseases; N. pediatrics
dire	warning of disaster; disastrous; (of needs and dangers) very great; urgent; Ex. dire prediction/need of food
mongrel	plant or animal (esp. a dog) of mixed breed; ADJ.
galvanic	of the production of electricity by the action of an acid on a metal; having the effect of an electric shock; Ex. galvanic cell; galvanic effect; CF. Luigi Galvani
hem	surround tightly so that movement is impossible; Ex. hem in; N.
unaccountable	unexplicable; impossible to account for; unreasonable or mysterious
annihilate	destroy
impinge	infringe; encroach; influence; touch; collide with; Ex. The effects are impinging on every aspect of our lives.
elaboration	addition of details; intricacy
jetsam	things thrown from a ship (to lighten the ship)
minatory	menacing; threatening
reaper	one who harvests grain; Ex. the Grim Reaper; V. reap: cut and gather (crop); harvest a crop
entrance	put under a spell(condition caused by magical power); carry away(fill with strong feeling) with emotion; put into a trance; fill with delight
chorus	phrase repeated throughout a song or poem
transpose	reverse the order or position of
cryptic	mysterious; hidden; secret
incidental	not essential; minor; N: something incidental
minuscule(miniscule)	extremely small
sectarian	of a sect; narrow-minded; parochial; N: member of a sect; narrow-minded person
tan	convert (hide) into leather; make brown by exposure to the sun
primary	first in rank or importance; principal; earliest in time; Ex. primary stages; N. CF. first
cornice	projecting molding on building (usually above columns or pillars);
tyranny	oppression; cruel government; ADJ. tyrannical: of a tyrant or tyranny; despotic; V. tyrannize: treat tyrannically; oppress
takeoff	burlesque; act of leaving the ground
clipper	sailing vessel built for great speed
somber	dark; gloomy; melancholy; depressing; CF. shadow
sundry	miscellaneous; various; several; N. sundries: small miscellaneous items
sluice	artificial channel for directing or controlling the flow of water (with a gate to regulate the flow)
imbecility	weakness of mind; state of being an imbecile; N. imbecile: stupid person; fool
exacting	extremely demanding; Ex. exacting standard of safety
impertinent	insolent; rude; not pertinent; N. impertinence
viper	poisonous snake
remorse	deep regret for wrongdoing; guilt; self-reproach
cohere	stick together
encompass	surround; include; Ex. His activities encompass publishing and computers.
hireling	one who serves for hire (usually used contemptuously); one who works solely for compensation; Ex. hireling politician
itinerant	wandering; traveling from place to place (to perform work); Ex. itinerant preacher
lexicographer	compiler of a dictionary; CF. lexicography: work of compiling a dictionary
seasonal	of a particular season; Ex. seasonal rise in employment
phenomena	observable facts; subjects of scientific investigation; SG. phenomenon: observable fact; very unusual person, thing, or event; marvel; wonder; CF. phenomenons; ADJ. phenomenal: very unusual; extraordinary; of a phenomenon; Ex. phenomenal strength
counterpart	thing that completes another; things very much alike; thing that has the same purpose in a different system
philology	study of language or words
unwieldy	awkward (to carry or move); cumbersome; unmanageable
repine	fret; complain; be annoyed; Ex. repine over the undone work
ruminant	animal that ruminates; ADJ.
exult	rejoice
effulgent	shining brightly; brilliant
agape	openmouthed
animosity	active enmity
sturdy	strong and firm (in the body)
consistency	absence of contradictions; uniformity; degree of thickness or firmness; Ex. consistency of thick cream; CF. viscous
unfledged	immature; not having the feathers necessary to fly; CF. fledgling
geniality	cheerfulness; kindliness; sympathy; ADJ. genial: cheerful and good-tempered
acuity	sharpness (of mind or senses of sight or hearing)
forswear	renounce under oath; abandon; make a solemn promise to give up; CF. abjure
problematic	causing a problem; open to doubt; doubtful; unsettled; questionable; Ex. Whether the arena will ever be completed is problematic.
figure	written symbols; number; amount represented in numbers; outline or silhouette of a thing or human body; person (well-known); impression; diagram; pattern; group in a dance; Ex. figure of speech; V. calculate with numbers; adorn with figures; app
pachyderm	 thick-skinned animal
idyll(idyl)	short poem idealizing rural life; simple happy period of life (in the country); scene from such a time; Ex. idyll of two young lovers
menace	threat; V: threaten
amenable	obedient; compliant; readily managed; responsive; willing to be led; answerable or accountable legally; responsible; able to be tested by; Ex. amenable to sensible suggestions; Ex. He is very amenable; Ex. amenable to the usual tests
base	contemptible; morally bad; inferior in value or quality; Ex. base motives/conduct; Ex. base metal such as iron
harbor	give protection (by giving food and shelter); provide a refuge for; hide; keep in mind (thoughts or feelings); Ex. harbor a grudge/criminal; N: place of shelter; refuge
hide	skin of an animal
courier	messenger
reparation	compensation (for loss or wrong); amends; Ex. make reparation for the damage; CF. repair
guileless	without deceit
lament	grieve; express sorrow; N. lamentation
ambulatory	able to walk
duplicity	double-dealing; hypocrisy; being dishonest and deceitful; ADJ. duplicitous
substantive	substantial; essential; pertaining to the substance; substantial; considerable; Ex. substantive issues
hereafter	life after death
ewe	female sheep
reprehensible	deserving blame; blameworthy; V. reprehend: blame
juxtapose	place side by side; CF. next
allay	calm; pacify
chaplain	clergyman attached to a chapel
concerted	mutually agreed on; done together by agreement; Ex. concerted effort; CF. in concert: working together
brocade	rich, figured(patterned) fabric
attentive	alert and watchful; listening carefully; paying attention; considerate; thoughtful; politely helpful; Ex. attentive audience; Ex. He was attentive to the old lady; N. attentions: act of courtesy and consideration
tread	walk; trample; N: grooved face of a tire; horizontal part of a step
actuate	motivate; activate; cause to act
stupefy	stun; make numb (as with a drug); amaze
gesticulation	motion; gesture; V. gesticulate: make gestures (while speaking)
secular	worldly; not pertaining to church matters or religion; temporal
garner	gather; store up; amass
confidential	spoken or written in secret; trusted with private matters; Ex. confidential secretary
lucre	money; profit; Ex. filthy lucre
congenial	pleasant; friendly; in agreement with one's tastes and nature; Ex. congenial weather
chivalrous	courteous; faithful; brave; N. chivalry
gourmand	epicure; person who takes excessive pleasure in food and drink
granary	storehouse for grain
methodical	systematic; N. method: systematic method of procedure
bellicose	warlike
leonine	like a lion
abut	border upon; adjoin
sybarite	lover of luxury; person devoted to pleasure and luxury; CF. Sybaris: an ancient Greek city in Italy
temporize	gain time as by postponing an action; avoid committing oneself
willful	wilful; intentional; headstrong
repress	hold back (the natural expression of); restrain; crush; oppress; Ex. repressed child; Ex. repress a laugh/rebellion
frail	weak; N. frailty
loath	reluctant; unwilling; disinclined; Ex. Romeo and Juliet were both loath for him to go.
glossy	smooth and shining; N. gloss: shiny brightness on a surface; superficially attractive appearance; Ex. gloss of good manners
extrovert	person interested mostly in external objects and actions
straggle	stray or fall behind (a main group); spread out in a scattered group; Ex. straggling marathon racer; Ex. straggling branch
swell	long wave of water that moves continuously without breaking; V.
bogus	counterfeit; not authentic; intentionally false; Ex. bogus interview
rapacious	voracious; ravenous; taking everything one can; excessively grasping; plundering; subsisting on live prey; Ex. rapacious birds
verisimilar	having the appearance of truth or reality; probable or likely to be true; plausible
compassion	sympathy for the suffering of others; ADJ. compassionate
offhand	casual; done without prior thought or preparation
tempestuous	stormy; violent; impassioned; N. tempest: violent storm
nexus	connection
elastic	able to spring back into shape; quick to recover (as from disappointment); able to adapt to change; Ex. elastic plans; N: elastic material
debut	d\'ebut; first public appearance; formal presentation of a young woman to society
infraction	violation (of a rule or regulation); breach
vagrant	homeless wanderer
hazard	venture; put in danger; risk; Ex. hazard a guess; N: possible source of danger
ponderous	having great weight; weighty; unwieldy; lacking lightness; dull; Ex. ponderous body/style of writing
preeminent	outstanding; superior
proximity	nearness; ADJ. proximate
thesis	opinion put forward and supported by reasoned arguments
fictitious	imaginary; non-existent; purposely invented to deceive; untrue; Ex. fictitious name/boyfriend; CF. fictional
repeal	revoke; annul
effigy	dummy; likeness of a person made of wood, paper, or stone; Ex. burn an effigy of the President
flicker	burn unsteadily or fitfully; move waveringly; N: flickering movement or light; brief sensation; Ex. flicker of excitement
plebiscite	direct vote by the entire electorate (on an important issue)
comprehensive	broad; including a lot or everything; thorough; inclusive
cauterize	burn (a wound or snakebite, etc.) with hot iron or caustic substance to stop bleeding and prevent infection
sleigh	large vehicle drawn by a horse over snow or ice
hindrance	block; obstacle; V. hinder
reckon	count; calculate; regard as; think; suppose
executioner	person administering capital punishment
forfeit	something surrendered as punishment for a crime or breach of contract; V: lose as a forfeit; N. forfeiture
weather	pass safely through (a storm or difficult period); endure the effects of weather or other forces
appreciate	be thankful for; increase in worth; be thoroughly conscious of; ADJ. appreciable: enough to be felt; Ex. appreciable difference
physiological	pertaining to the science of the function of living organisms; N. physiology
lustrous	shining; brilliant; Ex. lustrous hair
disparage	belittle
glutinous	sticky; viscous; gluey
indigence	poverty
isthmus	narrow neck of land connecting two larger bodies of land
ferret	drive or hunt out of hiding; hunt with ferrets; drive out (as from a hiding place); expel; uncover or discover by searching; Ex. ferret out the secret; N. small fierce animal which catches rats and rabbits by going into their holes
gratify	please; satisfy; Ex. gratify a desire
orgy	wild drunken revelry; unrestrained indulgence in an activity; Ex. orgy of shopping
revile	attack with abusive language; vilify(slander)
vampire	ghostly being that sucks the blood of the living
demented	insane
outwit	outsmart; defeat by behaving more cleverly
reproach	blame (not angrily but sadly); express disapproval or disappointment; N. ADJ. reproachful
bludgeon	club; heavy-headed weapon; V.
overture	musical introduction to a long musical piece; first offer or proposal (to begin talks in the hope of reaching an agreement); Ex. overtures for peace
arsenal	storage place for military equipment
tarnish	make or become dull or discolored; N.
gentry	people of standing(rank or position); people of good family or high social position; class of people just below nobility
calligraphy	beautiful writing; excellent penmanship
winsome	charming (in a childlike way); agreeable; gracious; engaging
dappled	spotted
cerebral	pertaining to the brain or intellect; intellectual rather than emotional; CF. cerebrum
misadventure	mischance; ill luck; Ex. death by misadventure
hibernate	sleep throughout the winter; N. hibernation
vitriolic	causing sharp pain to the mind; caustic; corrosive; sarcastic; of vitriol; N. vitriol: sulphuric acid (which burns flesh deeply); bitterly abusive expression; caustic expression; CF. glass
purge	remove or get rid of something or someone unwanted; eliminate; free from blame or guilt; cleanse or purify (esp. of sin, guilt, or defilement); N.
oracular	of an oracle; prophetic; uttered as if with divine authority; mysterious or ambiguous; hard to understand; N. oracle: wiser person; prophecy made by an oracle
quorum	minimal number of members necessary to conduct a meeting
scuffle	struggle confusedly; move off in a confused hurry; N. CF. scuffling twins ?
decrepitude	state of collapse or weakness caused by illness or old age
protract	prolong; lengthen in time; draw out
covetous	avaricious; desirous of (someone else's possessions); V. covet: desire eagerly (someone else's possessions)
adulation	flattery; admiration that is more than is necessary or deserved
holocaust	destruction by fire; CF. burnt whole; CF. Holocaust
subordinate	occupying a lower rank; inferior; submissive; N. V: put in a lower rank or class
amputate	cut off part of body; prune (a limb)
imprecation	curse; swearword
sedate	composed (with no excitement); grave; V: administer a sedative to; CF. sedative
hoodwink	deceive; delude
melee	fight
tenancy	possession of land or building by rent; period of a tenant's occupancy
giddy	light-hearted; not serious; frivolous; dizzy; causing dizziness; Ex. giddy youth; Ex. giddy climb/height
indignity	treatment or situation that causes shame or loss of dignity, respect; offensive or insulting treatment; humiliating or degrading treatment; Ex. I suffered the indignity of having to say that in front of them.
strew	spread randomly; sprinkle; scatter; Ex. flower girl strewing rose petals
orthography	correct spelling; CF. ortho-: straight; correct; Ex. orthodontics
ken	range of knowledge; Ex. beyond one's ken
fret	be annoyed or vexed; Ex. fret over your poor grades; N: irritation of mind; ADJ. fretful
appall	dismay; shock deeply
prey	target of a hunt; victim; V: hunt and eat as prey; victimize; Ex. Cats prey on mice.
finish	surface texture; completeness of execution
derivative	unoriginal; obtained from another source; Ex. derivative prose style; N.
cogent	convincing
surveillance	close observation of a person (esp. one under suspicion); watching; guarding
erode	eat away; wear away gradually by abrasion; Ex. The sea erodes the rocks.
contend	struggle; compete; assert earnestly; state strongly
splice	join together end to end to make one continuous length; fasten together; unite; Ex. splice two strips of tape; N.
modulate	tone down in intensity; change the intensity or tone of; regulate; change from one musical key to another; Ex. modulate from E to G
alias	an assumed name esp. by a criminal (usually to mislead people); ADV. alias
frenetic(phrenetic)	frenzied; frantic
consanguinity	kinship; relationship by birth
verbatim	word for word; in the same words; repeating the actual words exactly
dereliction	neglect of duty; abandonment
suspense	state of being undecided; anxiety or apprehension resulting from uncertainty
urchin	mischievous child (usually a boy); CF. urchin: hedgehog; CF. porcupine: pig with spikes ?; CF. sea urchin
repository	storehouse
metaphysical	pertaining to speculative philosophy; of metaphysics; N. metaphysics: branch of philosophy that examines the nature of reality
insomnia	wakefulness; inability to sleep
demur	object (because of doubts, scruples); raise an objection (showing qualms); hesitate; Ex. demur at the idea of working on Sunday
salvage	rescue (goods or property) from loss; N: saving; property saved
biting	sharply painful to the body or mind; Ex. biting wind/remarks
cursive	(of writing) flowing; running; having the successive letters joined
wilt	loose freshness; droop
prosperous	successful; rich; affluent; well-to-do; well-off
nauseate	cause to become sick; fill with disgust; fill nausea
brooch	ornamental clasp; pin
gainsay	deny
unassuming	modest; Ex. the champion's unassuming manner
maul	handle roughly; batter; injure by beating; Ex. mauled by his overexcited fans; N: heavy long-handled hammer
adorn	decorate
voracious	ravenous; eating large quantities of food; exceedingly eager; insatiable; Ex. voracious animal/reader
requiem	mass for the dead; dirge
graduated	arranged by degrees (of height, difficulty, etc.)
grudge	deep feeling of dislike; Ex. grudge fight; V.
decrepit	weak and in bad condition from old age or hard use; Ex. decrepit old chair/man
earn	gain for the performance of service or labor; gain (something that one deserves); deserve
knell	tolling of a bell especially to indicate a funeral, disaster, etc.; sound of the funeral bell; V.
loathe	detest; ADJ. loathsome: arousing loathing; offensive; Ex. loathsome smell
flotsam	drifting wreckage
grill	question severely; cook on a grill; broil; N: cooking surface of parallel metal bars
yokel	rustic; country bumpkin;
advert	refer
rhapsody	excessively enthusiastic expression of feeling; musical composition of irregular form (as if made up as one plays it)
pretentious	ostentatious; showy; pompous; making unjustified claims; overambitious; Ex. pretentious films that claim to be art
strident	loud and harsh; insistent; N. stridency
vicissitude	change (esp. from good to bad); change of fortune; CF. the last emperor of China
palm	conceal in the palm of the hand; palm off: pass off; Ex. palm off some bad oranges onto the lady/the painting as a real Renoir
buffet	strike forcefully; slap; batter; knock out; N: table with food set out for people to server themselves; meal at which people help themselves to food that's been set
decry	express strong disapproval of; condemn openly (something dangerous to the public); disparage; Ex. decry the violence of modern films
emasculate	weaken; castrate
hegemony	dominance especially of one nation over others
foul	very bad or disagreeable; very dirty; Ex. foul smell/flavor/temper/language/air/deed/weather/means; N. act against the rules; V. make or become foul; commit a foul
parallelism	state of being parallel; similarity; analogy
institute	organization for a special purpose; V: establish
imperceptible	unnoticeable; impossible to perceive; undetectable
mite	very small object or insect-like creature; small coin
proponent	supporter; backer; opposite of opponent
inert	inactive; lacking power to move; unable to move or act; Ex. chemically inert; N. inertia: state of being inert; force which keeps a thing in the position or state
automaton	mechanism that imitates actions of humans; machine that works by itself
whittle	pare; cut away thin bits (from wood); fashion in this way; reduce gradually; trim
turbulence	state of violent agitation; ADJ. turbulent: violently agitated or disturbed
abject	(of a condition) wretched; as low as possible; lacking pride; very humble; showing lack of self-respect; Ex. abject apology
benevolent	generous; charitable; having a wish to do good
accolade	award of merit; strong praise and approval
lope	gallop slowly
titanic	gigantic; N. titan
retribution	deserved punishment for wrongdoing; punishment for offenses; compensation; vengeance; CF. pay back
amorphous	formless; lacking shape or definition
ruse	trick to deceive; stratagem
avarice	greediness for wealth
coroner	public official who investigates any death thought to be of other than natural causes
hurl	throw forcefully; shout out violently
malevolent	wishing evil; exhibiting ill will; N. malevolence
subsequent	following in time or order; later
skirmish	minor fight; minor battle in war; V.
desperate	having lost all hope; despairing; reckless and violent because of loss of hope or despair; undertaken as a last resort
debonair	(of men) friendly, charming, and fashionably dressed; aiming to please; CF. of good disposition
intuition	immediate insight; power of knowing without reasoning; ADJ. intuitive; V. intuit: know by intuition
cadaver	corpse; dead human body
narcissist	conceited person; N. narcissism; CF. narcissus
grotto	small cavern
sonnet	14-line poetic verse form with a fixed rhyme pattern
incorporate	introduce something into a larger whole; include; embody; give material form to; ADJ.
simplistic	oversimplified
unexceptionable	entirely acceptable; not offering any basis for criticism
palatable	agreeable; pleasing to the taste
bleak	cold or cheerless; frigid; unlikely to be favorable; depressing
sonic	of sound or its speed in air; CF. subsonic, supersonic
repercussion	rebound; reaction; reverberation; Ex. serious repercussion
tirade	long angry denunciatory speech; diatribe; harangue; extended scolding; denunciation
dinghy	small boat (often ship's boat)
iniquitous	wicked; immoral; unrighteous; N. iniquity; Ex. den of iniquity
swelter	(of a person) suffer from oppressive heat; be oppressed by heat
prefatory	introductory; of a preface
devoid	empty; lacking
forlorn	sad and lonely; wretched; desolate
jab	 poke abruptly with something sharp; punch with short blows
precept	practical rule guiding conduct; Ex. mother's precept
understate	state with less truth than seems warranted by the facts; Ex. He understated the seriousness of the crime; N. understatement; OP. overstate
dabble	 work at in a nonserious fashion; splash around; move noisily in a liquid
wont	(the stated person's) habit or custom; habitual procedure; ADJ. wonted: customary
fissure	crevice; crack
foreboding	premonition of evil; feeling of coming evil; V. forebode: be a warning of (something unpleasant)
virtue	goodness; moral excellence; good quality; advantage; Ex. by virtue of; Ex. make a virtue of necessity
overblown	inflated; exaggerated
cardiologist	doctor specializing in ailments of the heart
putrefy	make or become putrid; N. putrefaction
ecosystem	ecological community together with its environment
benefit	advantage; anything that brings helpl, advantage, or profit; money provided by the government to the people; fund-raising public entertainment; Ex. unemployment benefit; V: receive benefits; be beneficial to; give benefits
lagoon	shallow body of water or lake near a sea; lake separated from a sea by sandbars or coral reefs
quash	crush; suppress; squash; subdue; annul; Ex. quash a rebellion/the decision of the low court
disburse	pay out (as from a fund); N. disbursement; CF. purse
disjunction	act or state of separation; disunity; CF. disjunctive: expressing a choice between two ideas; CF. conjunction; CF. conjunctive
theoretical	based on theory; not practical or applied; hypothetical
orthodox	traditional; (of someone) conservative in belief; adhering to an established doctrine
sedition	conduct or language inciting rebellion; rebellion; resistance to authority; insubordination; ADJ. seditious
implode	burst inward; CF. vaccum tube
flag	droop; grow feeble; decline in vigor or strength; ADJ. flagging; CF. unflagging
unconscionable	unscrupulous; not guided by conscience; excessive; beyond reason; Ex. unconscionable demand
passive	not active; acted upon; receiving an action without acting in return; accepting without resistance
fancied	imagined; unreal
ingrate	ungrateful person (not expressing thanks)
queasy	experiencing nausea; nauseated; easily nauseated; squeamish; Ex. feel a little queasy
scheme	systematic plan; plot; clever dishonest plan; orderly arrangement of elements; Ex. health insurance scheme; Ex. a scheme to escape taxes; Ex. a color scheme; Ex. a story with no scheme; V: contrive a scheme
vassal	in feudalism, one who held land of a superior lord; subordinate or dependent
timidity	lack of self-confidence or courage
replica	copy
aria	operatic solo; a song sung by one person in an opera or oratorio
paucity	scarcity; dearth
conscientious	scrupulous; through and careful; Ex. conscientious worker
conveyance	vehicle; transfer; act of conveying; Ex. public conveyance
floe	flat mass of floating ice
obliterate	destroy completely; wipe out; Ex. obliterate the village
cavalier	casual and offhand; arrogant; N: knight
slew	large quantity or number; Ex. slew of errands left
impropriety	improperness; unsuitableness
dilapidated	falling to pieces; in a bad condition; ruined because of neglect; Ex. dilapidated old car/castle; N. dilapidation
headfirst	moving with the head leading; headlong
knotty	intricate; difficult; tangled; CF. knot
execute	put into effect; carry out; kill as a lawful punishment; N. execution
wring	twist (to extract liquid); extract by twisting; wrench painfully (necks or hands)
abysmal	bottomless
perquisite(perk)	any gain above stipulated salary; Ex. perquisites such as free meals and a car
reminiscent	suggestive of something (in the past); of reminiscence
pall	become boring; grow tiresome
singular	being only one; individual; unique; extraordinary; odd; Ex. singular beauty/behavior
coincidence	the chance occurrence, at the same time, of two or more seemingly connected events; V. coincide: happen at the same time; be in agreement; CF. coincident; CF. coincidental
smear	spread or cover with a sticky substance; N: mark made by smearing
perversion	corruption; turning from right to wrong
clot	half-solid lump formed from a liquid (or blood); V.
awl	pointed tool used for piercing
decomposition	decay; V. decompose: decay; break and separate into simple parts
halcyon	calm; peaceful; Ex. halcyon days
fumble	move the fingers and hands awkwardly (in search of something); mishandle or drop a ball that is in play; bungle; botch; spoil by mishandling; N.
flirt	behave in a way that attracts (sexual) attention; deal triflingly with; N: one (or woman) given to flirting; ADJ. flirtatious
chalice	goblet; consecrated cup
dutiful(duteous)	(of people or their behavior) respectful; obedient (filled with a sense of duty)
profusion	great amount; plenty; overabundance; excess; lavish expenditure; Ex. profusion of choices; ADJ. profuse: plentiful; copious; giving or given abundantly; extravagant
terse	concise; abrupt; pithy
bourgeois	middle class; selfishly materialistic; too interested in material possessions
partisan	one-sided; prejudiced; committed to a party (with dislike of any others); N: strong supporter of a party; guerrilla
perceptive	insightful; showing a good ability at perceiving and understanding; aware; wise; of perception
varnish	paint used to coat a surface with a glossy film; glossy coating produced by using this substance; Ex. nail varnish; V.
defrock	strip a priest or minister of church authority; unfrock
vouchsafe	grant condescendingly; guarantee; Ex. vouchsafe your fair return on your investment
ignite	kindle; light; catch fire or set fire to
rally	come or bring together; call up or summon (forces, vital powers, etc.); revive or recuperate (after illness or difficulty); N: act of rallying; mass gathering
atrocity	brutal deed; ADJ. atrocious
exploit	make use of, sometimes unjustly; N. exploitation
canny	shrewd in money matters; thrifty
aristocracy	hereditary nobility; privileged class; government by nobility; N. aristocrat
incipient	beginning; in an early stage
propagate	increase in number by producing young; multiply; spread; Ex. Most plants propagate by seed; Ex. newspaper propagating their ideas
diffuse	wordy; verbose; rambling; spread out (like a gas); V: spread out in all directions; disperse; N. diffusion; CF. suffuse
contempt	scorn; disdain; ADJ. contemptuous; CF. contemptible
careen	lurch; sway from side to side; move with irregular swinging movement; stagger
commune	small (often rural) community whose members share work and income; V: exchange thoughts or feelings; Ex. commune with nature
indefatigable	tireless; untiring; showing no sign of getting tired
spawn	lay eggs (in large numbers); produce offspring (in large numbers); N: eggs of aquatic animals
discrete	separate; unconnected
fiasco	total failure; CF. bottle
slink	move furtively; ADJ. slinky: stealthy; furtive; sneaky (as in ambush)
sovereign	ruler in a monarchy; ADJ: (of a country) independent and self-governing; having supreme power; supreme; excellent
elusive	evasive; not frank; baffling; hard to grasp, catch, or understand; V. elude: escape from; escape the understanding or grasp of; Ex. elude the hunter; Ex. His name eludes me.
writhe	twist in coils; contort in pain
catechism	book for religious instruction in question-and-answer form; religious instruction by question and answer; V. catechize
vile	despicable; unpleasant; disgusting; Ex. vile slander
judicious	sound on judgment; wise
asymmetric	not identical on both sides of a dividing central line
procurement	obtaining; V. procure: obtain by effort; obtain (a prostitute) for another
espouse	adopt; support (an idea or aim); marry; N. espousal
dispirited	lacking in spirit
